State_x,County_x,Obesity_Rate,FIPS,State_y,County_y,fast_food_density
AL,Lauderdale,36.5,1077,AL,Lauderdale,0.82469368
AK,Kodiak Island,30.3,2150,AK,Kodiak Island,0.538793087
CA,Riverside,34.0,6065,CA,Riverside,0.69621098
CO,El Paso,28.1,8041,CO,El Paso,0.685147822
AZ,Mohave,36.6,4015,AZ,Mohave,0.603114069
AL,Bullock,49.4,1011,AL,Bullock,0.300721735
AL,Jackson,38.6,1071,AL,Jackson,0.63975805
CO,Montrose,33.6,8085,CO,Montrose,0.69248879
MS,DeSoto,39.6,28033,MS,DeSoto,0.833886623
GA,Bulloch,39.1,13031,GA,Bulloch,0.779326797
NY,Herkimer,37.8,36043,NY,Herkimer,0.623512983
VA,Isle of Wight,38.9,51093,VA,Isle of Wight,0.636182904
AL,Cleburne,39.4,1029,AL,Cleburne,0.534509242
WV,Braxton,39.5,54007,WV,Braxton,0.510874331
CA,Santa Clara,22.0,6085,CA,Santa Clara,0.798068285
AL,Covington,44.6,1039,AL,Covington,0.866504192
AL,Lee,35.2,1081,AL,Lee,0.911101639
AL,Clarke,44.4,1025,AL,Clarke,1.159246087
AR,Garland,37.8,5051,AR,Garland,0.861818433
CA,San Luis Obispo,28.2,6079,CA,San Luis Obispo,0.9247154
CA,Monterey,32.8,6053,CA,Monterey,0.666038513
AR,Chicot,44.6,5017,AR,Chicot,0.604594946
AZ,Apache,39.1,4001,AZ,Apache,0.194782615
AR,Crawford,39.5,5033,AR,Crawford,0.504660249
AR,Mississippi,43.2,5093,AR,Mississippi,0.823641002
AL,Marshall,38.6,1095,AL,Marshall,0.96917206
AR,Conway,41.3,5029,AR,Conway,0.285211772
CA,Santa Cruz,29.4,6087,CA,Santa Cruz,0.696489751
AR,Montgomery,39.8,5097,AR,Montgomery,0.333111256
AR,Polk,37.0,5113,AR,Polk,0.405947119
CA,Solano,32.8,6095,CA,Solano,0.660051227
AR,White,40.4,5145,AR,White,0.736704409
AL,Winston,36.3,1133,AL,Winston,0.510464549
AL,Bibb,41.4,1007,AL,Bibb,0.316226959
AL,Marengo,46.1,1091,AL,Marengo,1.067634702
AR,Searcy,40.8,5129,AR,Searcy,0.51007396
AK,Prince of Wales-Hyder,37.6,2198,AK,Prince of Wales-Hyder,0.488042951
AR,Washington,33.5,5143,AR,Washington,0.744194448
CA,Kern,35.9,6029,CA,Kern,0.726678073
AZ,La Paz,35.9,4012,AZ,La Paz,0.884543777
AL,Chilton,36.3,1021,AL,Chilton,0.608149171
CA,Mariposa,32.3,6043,CA,Mariposa,0.349650353
CA,Lake,30.7,6033,CA,Lake,0.542812407
AR,Scott,38.4,5127,AR,Scott,0.491932303
AR,Faulkner,37.8,5045,AR,Faulkner,0.756387949
AK,Bethel,41.5,2050,AK,Bethel,0.325432569
AR,Ashley,42.1,5003,AR,Ashley,0.775634706
AZ,Pima,32.8,4019,AZ,Pima,0.677550852
AR,Lincoln,39.8,5079,AR,Lincoln,0.463535219
AL,Limestone,35.8,1083,AL,Limestone,0.479320735
AL,Dallas,50.5,1047,AL,Dallas,0.692559123
AZ,Graham,40.4,4009,AZ,Graham,0.510060966
AL,Chambers,45.4,1017,AL,Chambers,0.973680198
AZ,Pinal,38.9,4021,AZ,Pinal,0.307802379
CA,Colusa,32.2,6011,CA,Colusa,0.417478442
AR,Pike,37.1,5109,AR,Pike,0.375833869
AR,Independence,39.6,5063,AR,Independence,0.874010146
AR,Union,41.2,5139,AR,Union,0.811114907
AR,Baxter,41.3,5005,AR,Baxter,0.6628474
AZ,Coconino,27.0,4005,AZ,Coconino,0.933457792
AL,Coffee,34.1,1031,AL,Coffee,0.920533538
AK,Anchorage,29.6,2020,AK,Anchorage,0.74191469
AL,Monroe,42.7,1099,AL,Monroe,0.537660658
AR,Greene,37.6,5055,AR,Greene,0.592144191
CA,Marin,23.5,6041,CA,Marin,0.773320079
AL,Lawrence,40.7,1079,AL,Lawrence,0.517393529
CA,Butte,31.5,6007,CA,Butte,0.737976134
AL,Hale,44.4,1065,AL,Hale,0.408997953
AR,Clay,38.1,5021,AR,Clay,0.347826093
CA,Napa,28.7,6055,CA,Napa,0.566322207
AR,Lonoke,38.0,5085,AR,Lonoke,0.527590275
AR,Phillips,51.3,5107,AR,Phillips,0.404647678
AL,Shelby,32.1,1117,AL,Shelby,0.803873062
AR,Perry,37.6,5105,AR,Perry,0.290500641
AL,Butler,45.5,1013,AL,Butler,1.076702237
AZ,Gila,34.4,4007,AZ,Gila,0.515625298
AL,Pickens,43.8,1107,AL,Pickens,0.353660375
AR,Bradley,41.5,5011,AR,Bradley,0.469968975
AR,Benton,34.2,5007,AR,Benton,0.696046054
AR,Sharp,38.0,5135,AR,Sharp,0.401744723
CA,Placer,25.8,6061,CA,Placer,0.878520906
CA,Alpine,29.9,6003,CA,Alpine,2.680965185
AL,Lamar,38.3,1075,AL,Lamar,0.508573115
AR,Pulaski,38.4,5119,AR,Pulaski,0.966970325
AL,Wilcox,48.5,1131,AL,Wilcox,0.391926318
AR,Desha,45.2,5041,AR,Desha,0.900090039
AR,Cross,38.5,5037,AR,Cross,0.929252863
AR,Miller,43.7,5091,AR,Miller,0.602172434
AR,Hot Spring,38.6,5059,AR,Hot Spring,0.503152072
AL,Colbert,40.9,1033,AL,Colbert,0.992582679
CA,Glenn,34.1,6021,CA,Glenn,0.671781659
CA,Mono,29.1,6051,CA,Mono,1.65130043
