State,County,Obesity_Rate,FIPS
AL,Lauderdale,36.5,01077
AK,Kodiak Island,30.3,02150
CA,Riverside,34.0,06065
CO,El Paso,28.1,08041
AZ,Mohave,36.6,04015
AL,Bullock,49.4,01011
AL,Jackson,38.6,01071
KS,Greenwood,39.7,20073
CO,Montrose,33.6,08085
MS,DeSoto,39.6,28033
GA,Bulloch,39.1,13031
NY,Herkimer,37.8,36043
AK,Nome,37.2,02180
SD,McPherson,37.8,46089
AK,Skagway,33.0,02230
VA,Isle of Wight,38.9,51093
AL,Cleburne,39.4,01029
WV,Braxton,39.5,54007
CA,Santa Clara,22.0,06085
AL,Covington,44.6,01039
AL,Lee,35.2,01081
AL,Clarke,44.4,01025
AR,Garland,37.8,05051
CA,San Luis Obispo,28.2,06079
CA,Monterey,32.8,06053
AR,Chicot,44.6,05017
AZ,Apache,39.1,04001
AR,Crawford,39.5,05033
AR,Mississippi,43.2,05093
AL,Marshall,38.6,01095
AR,Conway,41.3,05029
CA,Santa Cruz,29.4,06087
AR,Montgomery,39.8,05097
AL,Washington,41.5,01129
AR,Polk,37.0,05113
CA,Solano,32.8,06095
AR,White,40.4,05145
AL,Winston,36.3,01133
AL,Bibb,41.4,01007
AL,Marengo,46.1,01091
AR,Searcy,40.8,05129
AK,Prince of Wales-Hyder,37.6,02198
AR,Washington,33.5,05143
AR,Prairie,38.3,05117
CA,Kern,35.9,06029
AZ,La Paz,35.9,04012
AL,Chilton,36.3,01021
CA,Mariposa,32.3,06043
CA,Lake,30.7,06033
AR,Scott,38.4,05127
AR,Faulkner,37.8,05045
AK,Bethel,41.5,02050
AR,Ashley,42.1,05003
AK,Bristol Bay,32.0,02060
AZ,Pima,32.8,04019
AK,Aleutians West,28.9,02016
AR,Lincoln,39.8,05079
AL,Limestone,35.8,01083
AL,Dallas,50.5,01047
AK,Yukon-Koyukuk,39.5,02290
AZ,Graham,40.4,04009
AL,Chambers,45.4,01017
AZ,Pinal,38.9,04021
AK,Wrangell,34.4,02275
CA,Colusa,32.2,06011
AR,Pike,37.1,05109
AR,Independence,39.6,05063
AR,Union,41.2,05139
AR,Baxter,41.3,05005
AZ,Coconino,27.0,04005
AK,Copper River,32.6,02066
CA,Modoc,30.0,06049
AL,Lowndes,49.6,01085
AL,Coffee,34.1,01031
AK,Anchorage,29.6,02020
AL,Monroe,42.7,01099
AR,Greene,37.6,05055
CA,Marin,23.5,06041
AK,Yakutat,32.6,02282
AL,Lawrence,40.7,01079
CA,Sierra,31.3,06091
CA,Butte,31.5,06007
AK,Lake and Peninsula,38.2,02164
AL,Hale,44.4,01065
AR,Clay,38.1,05021
CA,Napa,28.7,06055
AR,Lonoke,38.0,05085
AR,Phillips,51.3,05107
AL,Shelby,32.1,01117
AR,Perry,37.6,05105
AL,Butler,45.5,01013
AK,Northwest Arctic,38.0,02188
AZ,Gila,34.4,04007
AL,Pickens,43.8,01107
AR,Bradley,41.5,05011
AR,Benton,34.2,05007
