State_x,County_x,Obesity_Rate,FIPS,fast_food_density
AL,Lauderdale,36.5,1077,0.82469368
AK,Kodiak Island,30.3,2150,0.538793087
CA,Riverside,34.0,6065,0.69621098
CO,El Paso,28.1,8041,0.685147822
AZ,Mohave,36.6,4015,0.603114069
AL,Bullock,49.4,1011,0.300721735
AL,Jackson,38.6,1071,0.63975805
CO,Montrose,33.6,8085,0.69248879
MS,DeSoto,39.6,28033,0.833886623
GA,Bulloch,39.1,13031,0.779326797
NY,Herkimer,37.8,36043,0.623512983
VA,Isle of Wight,38.9,51093,0.636182904
AL,Cleburne,39.4,1029,0.534509242
WV,Braxton,39.5,54007,0.510874331
CA,Santa Clara,22.0,6085,0.798068285
AL,Covington,44.6,1039,0.866504192
AL,Lee,35.2,1081,0.911101639
AL,Clarke,44.4,1025,1.159246087
AR,Garland,37.8,5051,0.861818433
CA,San Luis Obispo,28.2,6079,0.9247154
CA,Monterey,32.8,6053,0.666038513
AR,Chicot,44.6,5017,0.604594946
AZ,Apache,39.1,4001,0.194782615
AR,Crawford,39.5,5033,0.504660249
AR,Mississippi,43.2,5093,0.823641002
AL,Marshall,38.6,1095,0.96917206
AR,Conway,41.3,5029,0.285211772
CA,Santa Cruz,29.4,6087,0.696489751
AR,Montgomery,39.8,5097,0.333111256
AR,Polk,37.0,5113,0.405947119
CA,Solano,32.8,6095,0.660051227
AR,White,40.4,5145,0.736704409
AL,Winston,36.3,1133,0.510464549
AL,Bibb,41.4,1007,0.316226959
AL,Marengo,46.1,1091,1.067634702
AR,Searcy,40.8,5129,0.51007396
AK,Prince of Wales-Hyder,37.6,2198,0.488042951
AR,Washington,33.5,5143,0.744194448
CA,Kern,35.9,6029,0.726678073
AZ,La Paz,35.9,4012,0.884543777
AL,Chilton,36.3,1021,0.608149171
CA,Mariposa,32.3,6043,0.349650353
CA,Lake,30.7,6033,0.542812407
AR,Scott,38.4,5127,0.491932303
AR,Faulkner,37.8,5045,0.756387949
AK,Bethel,41.5,2050,0.325432569
AR,Ashley,42.1,5003,0.775634706
AZ,Pima,32.8,4019,0.677550852
AR,Lincoln,39.8,5079,0.463535219
AL,Limestone,35.8,1083,0.479320735
AL,Dallas,50.5,1047,0.692559123
AZ,Graham,40.4,4009,0.510060966
AL,Chambers,45.4,1017,0.973680198
AZ,Pinal,38.9,4021,0.307802379
CA,Colusa,32.2,6011,0.417478442
AR,Pike,37.1,5109,0.375833869
AR,Independence,39.6,5063,0.874010146
AR,Union,41.2,5139,0.811114907
AR,Baxter,41.3,5005,0.6628474
AZ,Coconino,27.0,4005,0.933457792
AL,Coffee,34.1,1031,0.920533538
AK,Anchorage,29.6,2020,0.74191469
AL,Monroe,42.7,1099,0.537660658
AR,Greene,37.6,5055,0.592144191
CA,Marin,23.5,6041,0.773320079
AL,Lawrence,40.7,1079,0.517393529
CA,Butte,31.5,6007,0.737976134
AL,Hale,44.4,1065,0.408997953
AR,Clay,38.1,5021,0.347826093
CA,Napa,28.7,6055,0.566322207
AR,Lonoke,38.0,5085,0.527590275
AR,Phillips,51.3,5107,0.404647678
AL,Shelby,32.1,1117,0.803873062
AR,Perry,37.6,5105,0.290500641
AL,Butler,45.5,1013,1.076702237
AZ,Gila,34.4,4007,0.515625298
AL,Pickens,43.8,1107,0.353660375
AR,Bradley,41.5,5011,0.469968975
AR,Benton,34.2,5007,0.696046054
AR,Sharp,38.0,5135,0.401744723
CA,Placer,25.8,6061,0.878520906
CA,Alpine,29.9,6003,2.680965185
AL,Lamar,38.3,1075,0.508573115
AR,Pulaski,38.4,5119,0.966970325
AL,Wilcox,48.5,1131,0.391926318
AR,Desha,45.2,5041,0.900090039
AR,Cross,38.5,5037,0.929252863
AR,Miller,43.7,5091,0.602172434
AR,Hot Spring,38.6,5059,0.503152072
AL,Colbert,40.9,1033,0.992582679
CA,Glenn,34.1,6021,0.671781659
CA,Mono,29.1,6051,1.65130043
CA,Orange,25.7,6059,0.970046937
AL,Baldwin,36.8,1003,0.750151575
CA,Siskiyou,32.9,6093,0.71684587
CA,Sonoma,28.3,6097,0.645136237
AR,Johnson,39.1,5071,0.64119488
AL,Randolph,40.9,1111,0.436300188
CA,Los Angeles,26.2,6037,0.879006267
AK,Ketchikan Gateway,34.3,2130,0.872917712
AK,Denali,30.8,2068,1.441614628
AL,Cullman,39.7,1043,0.816423118
AL,Franklin,39.6,1059,0.507823646
AR,Woodruff,41.3,5147,0.638569593
AK,Juneau,32.8,2110,0.879148483
AR,Marion,36.8,5089,0.416914821
AL,Russell,46.9,1113,0.910074353
AZ,Yavapai,27.7,4025,0.582784534
CA,Santa Barbara,31.6,6083,0.847636759
AL,Clay,39.6,1027,0.381330073
AR,Sebastian,35.9,5131,0.830786109
CA,Mendocino,29.4,6045,0.720419228
AZ,Cochise,32.9,4003,0.502157688
AL,Mobile,42.2,1097,0.780197501
CA,San Diego,25.4,6073,0.853432059
AL,Escambia,43.5,1053,0.88200438
CA,San Bernardino,35.1,6071,0.773347855
AZ,Yuma,42.3,4027,0.619766414
AL,Pike,40.6,1109,1.061699986
AL,Walker,42.9,1127,0.744342208
AK,Sitka,32.3,2220,0.356930405
AR,Franklin,40.1,5047,0.335251719
AR,Craighead,37.5,5031,0.810726523
AR,Clark,40.4,5019,0.814369082
AR,Crittenden,41.5,5035,0.77704972
AR,Carroll,35.6,5015,0.495119542
AR,Nevada,41.5,5099,0.370416105
AR,Lee,44.9,5077,0.35240221
AR,Fulton,39.0,5049,0.242306754
AR,Little River,38.9,5081,0.656814456
AK,Petersburg,30.4,2195,1.516990304
AL,DeKalb,38.9,1049,0.544251859
AR,Monroe,43.4,5095,1.518833518
CA,Plumas,29.1,6063,0.579954684
AR,Izard,36.9,5065,0.293836772
AR,Howard,39.7,5061,0.839118183
CA,Imperial,38.5,6025,0.610205948
CA,Madera,35.2,6039,0.507096171
AL,Henry,38.3,1067,0.638680816
AR,Lawrence,41.5,5075,0.304692268
CA,Contra Costa,28.4,6013,0.678623259
AK,Fairbanks North Star,32.1,2090,0.449550986
AR,Poinsett,40.8,5111,0.687196672
AL,Tallapoosa,41.9,1123,0.647845924
AL,Dale,44.3,1045,0.612757623
CA,Lassen,32.8,6035,0.533049047
AL,Autauga,38.4,1001,0.801496148
CA,Merced,34.5,6047,0.529987276
AL,Choctaw,45.8,1023,0.644226134
AK,Matanuska-Susitna,31.4,2170,0.426446974
CA,Fresno,39.0,6019,0.731328666
AL,Calhoun,38.3,1015,0.916549921
AR,Van Buren,37.0,5141,0.483646691
CA,Amador,27.3,6005,0.573809326
CA,San Mateo,21.4,6081,0.767498195
CA,Nevada,29.9,6057,0.622452438
AK,Kenai Peninsula,32.0,2122,0.757397234
AK,North Slope,40.7,2185,0.430385202
AZ,Navajo,38.5,4017,0.651134551
CA,Inyo,29.9,6027,0.997450948
AL,Montgomery,44.6,1101,1.112896681
CA,Sacramento,33.9,6067,0.772217631
AL,Geneva,38.2,1061,0.567945182
AR,Arkansas,40.9,5001,0.690329611
AR,Saline,37.2,5125,0.556595266
AK,Southeast Fairbanks,37.3,2240,0.57496047
AL,Elmore,36.4,1051,0.632926822
AL,Morgan,38.7,1103,0.78409785
AR,St. Francis,44.5,5123,0.445668906
AR,Madison,36.0,5087,0.300408542
AL,Houston,37.5,1069,1.135297418
CA,Kings,31.9,6031,0.674560547
AL,Blount,37.3,1009,0.414658159
AL,Talladega,42.6,1121,0.66262424
AR,Cleburne,36.6,5023,0.92239821
AL,Etowah,41.3,1055,0.830313265
CA,El Dorado,24.8,6017,0.673837006
AR,Dallas,44.0,5039,0.441046745
AL,Madison,35.7,1089,0.956640244
AR,Drew,41.6,5043,0.778772891
CA,San Joaquin,33.8,6077,0.658882499
AR,Jefferson,44.5,5069,0.887162149
AR,Columbia,41.1,5027,0.900090039
AL,Marion,39.5,1093,0.908999085
AL,Crenshaw,40.3,1041,0.51165849
AR,Lafayette,42.9,5073,0.45482111
AL,St. Clair,33.0,1115,0.694299042
AR,Stone,37.2,5137,0.710115194
AZ,Santa Cruz,32.4,4023,0.320458055
AK,Haines,32.6,2100,1.530221939
AL,Macon,47.7,1087,0.72645992
CA,San Francisco,17.7,6075,1.152773023
AL,Fayette,39.2,1057,0.554153085
AR,Jackson,40.6,5067,0.420774221
AL,Cherokee,40.2,1019,0.684566796
CA,Calaveras,29.4,6009,0.60464716
CA,Del Norte,33.8,6015,0.321796328
AL,Barbour,43.8,1005,0.976046205
AR,Grant,35.5,5053,0.271017402
AR,Hempstead,41.2,5057,0.799887061
AL,Tuscaloosa,41.4,1125,0.849315345
AR,Ouachita,42.5,5103,0.64747268
CA,Shasta,28.7,6089,0.714975953
AL,Sumter,45.2,1119,0.654396713
AR,Yell,38.7,5149,0.519333363
AR,Boone,39.4,5009,0.637873769
AL,Jefferson,39.7,1073,1.040678024
AR,Pope,36.1,5115,0.854913414
CA,Humboldt,33.1,6023,0.622328222
AR,Sevier,41.5,5133,0.41911149
AL,Conecuh,44.7,1035,0.67504853
AR,Randolph,37.4,5121,0.493231773
AR,Logan,37.7,5083,0.513778627
CA,Alameda,19.4,6001,0.827155709
CA,San Benito,29.1,6069,0.515182257
AZ,Maricopa,32.7,4013,0.739012897
CO,Gunnison,23.7,8051,0.909452617
GA,Heard,41.0,13149,0.250563771
GA,Burke,44.8,13033,0.618156135
FL,Hardee,40.3,12049,0.410111099
FL,Pinellas,32.2,12103,0.740170479
GA,Houston,39.3,13153,0.95559305
CO,Douglas,20.9,8035,0.620928645
FL,DeSoto,44.2,12027,0.311526477
GA,Emanuel,42.7,13107,0.755320549
FL,Pasco,34.7,12101,0.473342061
FL,St. Johns,26.5,12109,0.627881527
FL,Columbia,38.3,12023,0.715721071
GA,Coweta,44.1,13077,0.662914574
GA,Berrien,38.7,13019,0.463726312
FL,Gulf,38.4,12045,0.591103911
GA,Habersham,36.8,13137,0.651508212
CO,Rio Grande,26.4,8105,0.354107648
FL,Osceola,31.0,12097,0.713701785
GA,Lamar,41.5,13171,0.41534707
GA,Chattooga,39.0,13055,0.523286223
GA,Dooly,44.0,13093,0.759070873
GA,Camden,38.1,13039,0.794395924
CO,Moffat,29.6,8081,0.760803401
FL,Nassau,32.5,12089,0.669498324
CO,Denver,23.8,8031,0.895942807
CO,Larimer,21.1,8069,0.793501079
CO,Chaffee,25.3,8015,1.113208413
GA,Columbia,36.0,13073,0.68588388
CO,Alamosa,31.9,8003,0.988875151
CO,Archuleta,24.9,8007,0.563539028
CO,Boulder,18.6,8013,0.886386633
FL,Flagler,33.4,12035,0.481211632
GA,Bleckley,42.0,13023,0.69471246
FL,Hamilton,39.5,12047,0.413194686
FL,Broward,31.8,12011,0.72161603
CO,San Juan,27.4,8111,6.684492111
CO,Teller,26.9,8119,0.626738191
FL,Martin,27.6,12085,0.703321636
FL,Suwannee,44.8,12121,0.512809098
FL,Gadsden,44.3,12039,0.530070484
GA,Candler,44.0,13043,0.910332263
CA,Tulare,38.0,6107,0.614491761
CO,Garfield,26.7,8045,0.844846427
FL,Orange,32.8,12095,0.854459882
GA,Brooks,42.1,13027,0.520935059
DE,New Castle,37.6,10003,0.854805887
CA,Tuolumne,31.0,6109,0.476932943
GA,Hall,35.0,13139,0.692188919
GA,Decatur,39.8,13087,0.907132328
GA,Effingham,38.6,13103,0.456169695
GA,Crisp,44.8,13081,1.043841362
GA,Hancock,47.5,13141,0.588650823
GA,Harris,32.7,13145,0.277161866
GA,Coffee,41.4,13069,0.786709249
FL,Clay,35.6,12019,0.60873878
CA,Stanislaus,34.7,6099,0.707168579
FL,Wakulla,37.3,12129,0.349660546
FL,Escambia,32.6,12033,0.663845837
GA,Liberty,45.9,13179,1.047552586
FL,Washington,41.1,12133,0.694123089
FL,Brevard,32.9,12009,0.619598031
GA,Butts,40.2,13035,0.707936764
FL,Dixie,43.6,12029,0.410388708
GA,Fannin,38.9,13111,0.829531312
FL,Okaloosa,33.6,12091,0.883375645
CA,Tehama,32.5,6103,0.511675477
FL,Marion,39.1,12083,0.527424753
GA,DeKalb,33.5,13089,0.864819169
FL,Bay,35.3,12005,0.904729128
GA,Early,45.1,13099,0.896682262
GA,Haralson,33.8,13143,0.592436552
FL,Monroe,29.7,12087,0.906630576
GA,Greene,39.2,13133,0.53087008
FL,Collier,27.4,12021,0.572558403
GA,Chatham,36.1,13051,1.074403286
FL,Hillsborough,31.4,12057,0.61884284
FL,Okeechobee,40.1,12093,0.378277421
GA,Clinch,44.9,13065,0.911577046
GA,Dougherty,44.4,13095,1.133249283
FL,Seminole,31.4,12117,0.784527123
GA,Dawson,34.7,13085,1.327776313
FL,Sumter,35.1,12119,0.273345888
GA,Jackson,41.5,13157,0.511817753
FL,St. Lucie,34.7,12111,0.507138491
CA,Ventura,28.9,6111,0.772533894
CO,Prowers,31.6,8099,1.073847651
CO,Montezuma,30.2,8083,0.643744349
GA,Catoosa,36.6,13047,0.779457629
FL,Jackson,42.7,12063,0.650971055
GA,Laurens,41.5,13175,0.926081836
FL,Gilchrist,36.9,12041,0.423616618
GA,Bartow,37.8,13015,0.685394704
CO,Fremont,29.2,8043,0.355150729
FL,Madison,36.5,12079,0.588015199
CO,Jefferson,24.9,8059,0.730348706
FL,Indian River,33.0,12061,0.541478455
FL,Putnam,39.8,12107,0.454454333
GA,Gordon,40.0,13129,0.663491011
GA,Jefferson,44.2,13163,0.786009014
FL,Leon,33.1,12073,1.011981368
GA,Charlton,42.2,13049,0.446760982
FL,Lee,31.1,12071,0.541246653
GA,Crawford,41.1,13079,0.245278388
CO,San Miguel,24.7,8113,1.480567575
GA,Floyd,40.1,13115,0.821467698
CO,Weld,31.2,8123,0.541943729
CO,Adams,34.0,8001,0.673228383
CO,Routt,24.4,8107,0.899843514
FL,Alachua,33.0,12001,0.796407342
GA,Brantley,39.2,13025,0.312467456
GA,Baldwin,39.8,13009,1.064325094
GA,Johnson,42.8,13167,0.517223537
CA,Yuba,32.6,6115,0.399201602
CA,Sutter,32.0,6101,0.66400373
CO,Broomfield,24.6,8014,1.010576487
CO,Clear Creek,25.7,8019,0.938869178
CO,Park,25.3,8093,0.26378265
CO,Arapahoe,25.7,8005,0.765074849
GA,Clayton,45.4,13063,0.731258929
FL,Sarasota,28.8,12115,0.469033629
CO,Mesa,30.3,8077,0.687647402
CO,Otero,31.6,8089,0.769188523
CO,Delta,29.0,8029,0.611581445
CO,Lincoln,30.3,8073,0.704225361
